title,release_date,vote_average,vote_count,overview,original_language,popularity
SL Benfica vs FC Porto,2023-09-29,10.0,1,,pt,0.0
SL Benfica vs Estrela Amadora,2023-08-19,10.0,1,,pt,0.0071
Our Honeymoon,2023-08-13,10.0,1,"A documentary of a honeymoon to the Pacific Northwest, including plane flights, stops in Portland, Oregon and Coeur D’Alene, Idaho.",en,0.0071
Artsakh: part 7,2023-07-28,10.0,1,Artsakh: Part 2:  It is analyzed by experts-historians and is based on indisputable historical facts.,en,0.0071
Witnessed,2023-05-06,10.0,1,"When a son, Daniel Ortiz witnesses his father's brutal murder, he wrestles within himself if he should ignore his values and teachings or become a coldblooded murderer seeking revenge. One step behind him, on the case is Marcus Tillman, a detective with questionable morals and connections that run deep in the dark side of the city.",en,1.2524
A New Voice,2023-01-01,10.0,1,A New Voice is a firsthand look into the upward journey of citizens returning to communities after incarceration. The film sheds some light on the rarely seen success stories of people who have transitioned home from prison and their impact on their communities.,en,0.0
Clash For Cash,2023-07-28,10.0,1,"After the price of their streaming service increases, an eccentric group of thieves take it upon themselves to rob one of the least secure banks in the city.",en,0.0071
Down A Cent,2023-07-04,10.0,1,"A homeless woman goes into a local cafe, only to be followed a unknown man walks into the cafe with a more sinister intention in mind",en,0.0387
Artsakh: part 6,2023-04-21,10.0,1,The 6th part of the Artsakh film series tells the story of the history of Artsakh from 1921 to 1960. It is analyzed by experts-historians and is based on indisputable historical facts.,hy,0.0
Artsakh: part 5,2023-03-24,10.0,1,The 5th part of the Artsakh film series tells the story of the history of Artsakh from 1917 to 1921. It is analyzed by experts-historians and is based on indisputable historical facts.,hy,0.0071
Hypnosis Mic: Division Rap Battle - Rule the Stage [Rep LIVE side Rule the Stage Original],2023-12-13,10.0,1,Blu-ray release of character rap project “Hypnosis Mic: Division Rap Battle - Rule the Stage [Rep LIVE side Rule the Stage Original]”.,ja,1.7562
Hypnosis Mic: Division Rap Battle - Rule the Stage [Rep LIVE side D.H],2023-11-15,10.0,1,Blu-ray release of character rap project “Hypnosis Mic: Division Rap Battle - Rule the Stage [Rep LIVE side D.H]”.,ja,1.6804
Artsakh: part 4,2023-03-01,10.0,1,It is analyzed by experts-historians and is based on indisputable historical facts. The establishment of Russian rule in Artsakh,hy,0.0
ARTSAKH: The kingdoms of Khamsa: part 3,2023-01-30,10.0,1,Armed Struggle in Artsakh after the 17th Century. It is analyzed by experts-historians and is based on indisputable historical facts. The film tells the story of the period of the Khamsa kingdoms in Artsakh.,hy,0.0239
Solipsism,2023-03-27,10.0,1,"Set in cosmopolitan London, Aikya, a British-Indian blogger believes she is the only person that exists in the world. Continuing her daily life convinced that every interaction with another is purely a construct in her own world, her beliefs and existence are shattered after she witnesses the ultimately suicide of a neighbour. Thrust into a world unknown, Aikya must process unfounded human emotions, grapple with her solipsism and engage with the idea that she may not be alone after all.",en,0.0286
This is my fado,2023-01-17,10.0,1,"Júlia dreams making fado her life, but her father forces her to study law. One day she meets a guitarist and decides to fight for what she believes is her future.",pt,0.0
Lily Chou-Chou LIVE U-Next 2023,2023-10-21,10.0,1,,ja,1.0289
Pizza Margherita,2023-04-02,10.0,1,"Despite its title, this short film explores the delicate and serious theme of sexual harassment.",en,0.0487
Lone Stars,2023-07-27,10.0,1,"""Lone Stars"" is a heartwarming mockumentary that follows the misadventures of Jo Ellen and Dan Burnevik, a lovable music duo known by all in the vibrant Georgetown, Texas. Their claim to fame is their catchy song ""Lonestar,"" and want nothing more than a sponsorship with the iconic Lone Star Beer. Desperate for marketing material, Jo Ellen and Dan hire two out-of-work filmmakers to shoot content. But after the filmmakers initial attempt at shooting high quality video fails, Jo Ellen and Dan consider hiring a replacement. In an attempt to win them back, the two filmmakers convince one of their friends to act as a Lone Star Beer Executive and convince Jo Ellen and Dan to stick around.",en,0.0143
Flawless New Amazon Alexa,2023-12-06,10.0,1,A boy fights against an oppressive AI that controls his whole life.,en,0.0239
Footlights,2023-01-23,10.0,1,A homeless man alternates between living on the streets and performing on stage. We get a glimpse of the inner pain and frustration that this dual life is causing.,en,0.0143
Nun - The Beginning !!,2023-09-05,10.0,1,"Christine, a widowed doctor, seeking advice from priest, finds his connection to her dead husband. What she finds out may cost her...",en,0.0503
Traveler discovers a Woman running from her Husband & In-laws but then...,2023-06-08,10.0,1,"A traveler discovers a woman running from some men, upon inquire the traveler discovers they were her family; they claim she is unstable. On the insistence of the woman's husband, the traveler agrees to stay that night with the family.",en,0.0311
Summer Vacation at the Small Town Ranch House and the Rural Legend !!,2023-05-28,10.0,1,"On summer vacation Emma goes to a small ranch house. Here everyone knows everyone, and often spends evenings barbecuing together. Emma learns about a rural legend, and against everyone's warning Emma decides to solve the mystery herself.",en,0.0264
The Mastermind Killer !!,2023-12-31,10.0,1,"After the shocking murder of the most powerful man in Chicago - George Murphy, police detective Ethan Graham begins investigation to solve the case. The complexity builds up leading to no end. It must have been plotted by a Mastermind.",en,0.0327
The Manipulative Step Dad !!,2023-06-12,10.0,1,"On his birthday, Travis, a young boy, was gifted a toy gun by his step-father, Marshall. As Travis attempted to show the to his biological father, he happens to take his own father's life with it. The Toy gun was a real weapon.",en,0.0491
The Late Night Visitor !!,2023-05-07,10.0,1,A happily married woman notices that someone is watching her every night who is not her husband. What does he want with her? What is he after?,en,0.0729
A Meal's Worth,2023-09-01,10.0,1,"Past rejection and the loneliness of being a minority isolate Alex in his new school. Until he finds a warm welcome in a lunchbox, an unexpected encounter that makes him feel accepted.",id,0.084
BØDE,2023-06-11,10.0,1,,pt,0.0239
Kali,2023-11-06,10.0,1,The journey of an artist who is figuring out a mythological character through his art,hi,0.0662
Our Love Is Forever,2023-01-10,10.0,1,"The Attempt Of A Child Who Doesn't Know That He Died And Trying To Live With His Parents. The Mental Pressure Of A Mother And Father Due To The Death Of Their Only Son, His Son Became A Soul To His Mother And Spend Time With Her The Husband Who Does Not See Any Of This And Hospitalized Her Wife, The Husband, Who Is Taking Care Of His Wife, Suddenly The Police Comes To The Home And Arresting Him Because Of The Wife's Death, What Happened To Their Family The Story Of Tragic Fate.",en,0.0214
Chicken Nugget Man: The Complete Saga,2023-06-02,10.0,1,The legendary saga of Chicken Nugget Man's odyssey from a biological weapon to the one who saved the world.,en,0.0239
The Skull,2023-07-23,10.0,1,"In a big abandoned house on a barren hill lives a skull. A brave girl named Otilla has escaped from terrible danger and run away, and when she finds herself lost in the dark forest, the lonely house beckons. Her host, the skull, is afraid of something too, something that comes every night. Can brave Otilla save them both? Steeped in shadows and threaded with subtle wit, The Skull is as empowering as it is mysterious and foreboding.",en,0.209
Angurværð,2023-09-24,10.0,1,A young immigrant deals with the struggles of the world in iceland. After his new friend (also an immigrant) gets deported he finds a way to deal with the pain.,en,0.0071
CODEC,2023-06-09,10.0,1,An uninvited guest unearths bitter tensions within a friendship group celebrating their graduation.,en,0.1491
Sulung,2023-12-25,10.0,1,,id,0.0214
Lucidité,2023-06-06,10.0,1,,fr,0.1164
Quiproquo,2023-08-25,10.0,1,,fr,0.0289
NEW GENERATION THE LIVE ウルトラマンブレーザー編 ～巡る願い星 SIDE ブレーザー～／スターズ編 ～巡る願い星 SIDE スターズ～,2023-08-07,10.0,1,,ja,0.0643
NEW GENERATION THE LIVE スターズ編 ～新世代の戦士たち～／ウルトラマンブレーザ,2023-07-22,10.0,1,,ja,0.0268
"Maurice Baquet, The Accorded",2023-12-02,10.0,1,"At once a high-level musician, member of the October Group, entertainer, theater artist, film actor, mountaineer, and skier, Maurice Baquet, always on the move, structured his life around two common threads: the cello and the mountains. He once defined himself as a ""cellist-skier,"" ""all alone"" in this category, which prompted James Couttet, world ski champion, to say: ""Of all the skiers I know, he's the best cellist."" Echoing this, Professor at the Conservatoire National Supérieur, André Navarra, added: ""Of all the cellists I know, he's the best skier."" Throughout his varied yet coherent career, Baquet helped to project a joyful and artistic image of the mountains. Who better to talk about Maurice and all his adventures than his alter-ego: Cérébos, the faithful cello that never left his side? From Paris to Chamonix, from the stage to the granite slabs and snowy slopes, this film follows Cérébos, crossing the century and above all... smiling!",fr,0.9087
Do NOT press this button,2023-06-29,10.0,1,,de,0.0362
The Ashes,2023-03-06,10.0,2,"Death, as well as the opportunity for new life, is a duality that is part of the essence of Placilla de Peñuelas.",es,0.0439
The Demon Hungers,2023-11-04,10.0,1,"After Vox's castle and clan were destroyed by Tokugawa Ieyasu in the year 1616, he tended to his wounds in a cave by the ocean until he was awoken by a savage hunger.",en,0.2322
Team Super,2023-07-27,10.0,1,"Green Guardian and his sidekick Purple Nurple form Team Super a dynamic duo that defends the city from real criminals with the greatest superpower of all, the power of friendship. Unfortunately their unconventional methods lead them to the wrong side of trouble.",en,0.0143
Marcel's Piñata,2023-01-01,10.0,1,"A highly imaginative 10-year-old boy befriends his superhero-themed piñata prior to his birthday party. But upon realizing the tragic fate that awaits for his cardboard companion, he must rebel against the celebratory ritual in order to save his only friend.",es,0.0239
DJ Freakjuice: Your Baby's Daddy,2023-12-23,10.0,1,"DJ Freakjuice decides to re-release ""You're Baby's Daddy,"" his #1 hit from 1999, and discovers that the song still has a magical effect on people.",en,0.0952
Soul Haven,2023-07-04,10.0,1,"'Soul Haven' follows Holden, who wakes in a mysterious paradise with no memory of how he got there. He meets George, another inhabitant haunted by fragments of a forgotten past. As they navigate this dreamlike refuge, their bond deepens amid lush Australian landscapes. The film is a poetic exploration of memory, connection, and the blurred lines between reality and illusion.",en,0.0536
The Dyke Show,2023-02-09,10.0,1,"From 1979-1984, JEB performed The Dyke Show more than 80 times to packed audiences at community spaces and universities across the US and Canada. Originally titled Lesbian Images in Photography: 1850–1984 and transferred to digital video in 2023, the show includes portraits, documentary and erotic images by historic and contemporary photographers ranging from Alice Austen and Berenice Abbott to Tee Corinne and Leigh Mosley. JEB’s narration is a unique fusion of art history, activist inspiration and stand-up comedy.",en,0.0214
Olympia In Me,2023-09-12,10.0,1,"When a high school student transfers to a new school mid-year, silence feels safer than introductions, and making friends seems more daunting than the past left behind. But within the quiet corners of Olympia: a sunlit library, an empty courtyard, a room where thoughts are gently listened to, something shifts.",en,0.0
Le Jardin,2023-04-25,10.0,1,,fr,0.0
Chirichis,2023-10-16,10.0,1,,es,0.0379
Snail Moves Slowly,2023-01-04,10.0,1,A snail and he moves pretty slowly,en,0.0
Descent,2023-05-18,10.0,1,"A group of young college filmmakers follow Logan, a passionate young director who is inspired to make everything authentic. But what happens when his drive and conviction gets in the way of his friends' safety?",en,0.0479
Capitalismo: A Fera Imortal,2023-05-20,10.0,1,,pt,0.0
The Big Book,2023-11-09,10.0,1,Darwin works as a fraud surveillance investigator; spying on those with workers' comp claims to see if they are faking their injury or not. When he's not working (and sometimes while on the job) he sponsors young men in AA.,en,0.0261
Fearless Keys,2024-09-20,10.0,1,"An introverted young pianist maestro has to overcome his fear of performing in front of people, to not let down the girl he is in love with.",en,0.1643
Seventy-Five Twenty-One,2024-01-05,10.0,1,"""Seventy-Five Twenty-One,"" that captures the struggles and harmony of young and old alike.  Minseok fails the entrance exam for the Korea National University of Arts and moves to Seoul alone to find a place to live. Ara returns to Korea after filming a violin busking abroad. Chunsim, a building owner who dreams of becoming the best silver YouTuber. Their twists and turns on the notifications are a must-see.",ko,0.0871
The 300 Video Award Ceremony,2024-01-28,10.0,1,The third ever annual(ish) award ceremony celebrating the last 100 videos posted on the Meat & Bones YouTube channel,en,0.0489
El hombre que no dejaba de mirar atrás,2024-05-21,10.0,1,,es,0.1195
São Jorge contra o Dragão,2024-08-22,10.0,1,,pt,0.1781
Mis Ancestros,2024-06-04,10.0,1,"Guided by ayahuasca, Micaela embarks on a spiritual journey into the memory of her lineage. Mis Ancestros (My Ancestors) is the first piece in the ENRAIZAR universe, a visual and sound ritual where body, nature, and spirit intertwine to honor the living heritage that dwells in our DNA. Through visions, dance, and music, Micaela gives thanks to those who survived, fought, and loved before her. This video clip celebrates roots, identity, and the healing power of art.",es,0.0913
Bitter Angels,2024-09-29,10.0,1,"Two young women kidnap a billionaire. Venom wants revolution, Angel wants revenge.",en,0.0503
Storm over Hateg Island,2024-05-12,10.0,1,"During a rainy day of the Late Cretaceous, we follow a variety of Hateg island animals such as Hatzegopteryx, Tethyshadros, Paludititan, Sabresuchus, Balaur bondoc, an enantiornithine, and many more.",en,0.0
Voluto,2024-10-31,10.0,1,"In a dark and lonely forest lives Camilla, an old and ugly witch who longs for beauty and love. One morning, she stumbles upon an unfamiliar object and is confronted with her distorted reality. Determined to change, Camilla turns to dark magic-but the price is heavier than she expected. Is beauty worth the cost?",en,0.0143
Pero espero el día,2024-06-20,10.0,1,,es,0.0773
Loyalty Check,2024-10-26,10.0,1,One shakedown by an authoritarian government is all it takes.,en,0.0168
